Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Thoth","Mars",0,29.71,105,"Planetocentric  +East  0 - 360","Approved","1958","Egyptian messenger god.",
"Thule","Mars",13.07,-23.37,334.28,"Planetocentric  +East  0 - 360","Approved","1976","Town in Greenland.",
"[Thyles Chasma]","Mars",235,-70.79,127.5,"Planetocentric  +East  0 - 360","Dropped","1976","Classical albedo feature; name changed to Thyles Rupes.",
"Thyles Montes","Mars",380,-69.88,126.54,"Planetocentric  +East  0 - 360","Approved","Sep 13, 2006","Classical albedo feature name.",
"Thyles Rupes","Mars",548.75,-69.32,132.28,"Planetocentric  +East  0 - 360","Approved","1985","Name and feature changes 1984 from Ultimi Cavi and Thyles Chasma.",
"Thymiamata","Mars",0,9.88,350,"Planetocentric  +East  0 - 360","Approved","1958","""Land of sweet-scented perfumes""; South Yemen or India.",
"Tibrikot","Mars",59.08,12.56,305.13,"Planetocentric  +East  0 - 360","Approved","1988","Town in Nepal.",
"Tignish","Mars",20.98,-30.74,87.04,"Planetocentric  +East  0 - 360","Approved","1991","Town in Prince Edward Island, Canada.",
"Tigre Valles","Mars",102.82,-12.02,322.91,"Planetocentric  +East  0 - 360","Approved","Jan 11, 2011","River in Peru.",
"Tikhonravov","Mars",343.7,13.28,35.93,"Planetocentric  +East  0 - 360","Approved","1985","M. K.; Russian rocket scientist (1900-1974).",
"Tikhov","Mars",110.07,-50.68,105.8,"Planetocentric  +East  0 - 360","Approved","1973","Gavril A.; Russian astronomer (1875-1960).",
"Tile","Mars",8.47,17.73,331.38,"Planetocentric  +East  0 - 360","Approved","1976","Town in Somalia.",
"Timaru","Mars",18.4,-25.27,337.66,"Planetocentric  +East  0 - 360","Approved","1976","Town in New Zealand.",
"Timbuktu","Mars",65.68,-5.56,322.48,"Planetocentric  +East  0 - 360","Approved","1976","Town in Mali.",
"Timoshenko","Mars",86.11,41.76,296,"Planetocentric  +East  0 - 360","Approved","1982","Ivan Fedorovich; Soviet astronomer (1918-1941).",
"Tinia Valles","Mars",17.83,-4.61,211.12,"Planetocentric  +East  0 - 360","Approved","1985","Classical river in Italy.",
"Tinjar Valles","Mars",400.58,37.54,124.27,"Planetocentric  +East  0 - 360","Approved","1985","Modern river in Sarawak, Malaysia.",
"Tinto Vallis","Mars",191.97,-3.97,111.5,"Planetocentric  +East  0 - 360","Approved","2000","River in Spain.",
"Tisia Valles","Mars",384.05,-10.75,46.72,"Planetocentric  +East  0 - 360","Approved","1985","Ancient name for modern Tisza River, Ukraine.",
"[Tithoniae Catena]","Mars",380,-5.44,278,"Planetocentric  +East  0 - 360","Dropped","1973","Classical albedo feature name. Name dropped because in the database twice.",
"Tithoniae Catenae","Mars",562,-5.5,278.18,"Planetocentric  +East  0 - 360","Approved","1987","Classical albedo feature name.",
"Tithoniae Fossae","Mars",838,-4.32,276.96,"Planetocentric  +East  0 - 360","Approved","1982","Classical albedo name.",
"[Tithoniae Fossae]","Mars",492,-6.33,277.5,"Planetocentric  +East  0 - 360","Dropped","1988","Classical albedo feature name. Name dropped because in the database twice.",
"Tithonium Chasma","Mars",802.78,-4.6,275.71,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Tithonius Lacus","Mars",0,-4.94,275,"Planetocentric  +East  0 - 360","Approved","1958","""Tithonian Lake""; Tithonus received from his wife Eos eternal life but not eternal youth.",
"Tiu Valles","Mars",1720,16.23,325.14,"Planetocentric  +East  0 - 360","Approved","1973","Word for ""Mars"" in old English (West Germanic).",
"Tivat","Mars",3.62,-45.93,9.53,"Planetocentric  +East  0 - 360","Approved","Sep 29, 2011","Town in Montenegro.",
"Tivoli","Mars",32.8,-14.33,100.91,"Planetocentric  +East  0 - 360","Approved","Aug 24, 2010","Town in Grenada.",
"Tiwi","Mars",21.15,-27.56,335.24,"Planetocentric  +East  0 - 360","Approved","1976","Town in Oman.",
"Toconao","Mars",17.16,-20.85,285.31,"Planetocentric  +East  0 - 360","Approved","2006","Town in Chile.",
"Tokko","Mars",2.7,22.55,109.52,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Tokma","Mars",3.28,21.31,108.57,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Tolon","Mars",2.64,18.23,104.98,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Tomari","Mars",5.29,19.98,113.78,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Tombaugh","Mars",59.84,3.56,161.92,"Planetocentric  +East  0 - 360","Approved","2006","Clyde William; American astronomer (1906-1997).",
"Tombe","Mars",5.99,-42.4,315.45,"Planetocentric  +East  0 - 360","Approved","1976","Town in Sudan.",
"Tomini","Mars",7.77,16.26,125.88,"Planetocentric  +East  0 - 360","Approved","2006","Town in Indonesia.",
"[Tōno]","Mars",10,-44.86,307.8,"Planetocentric  +East  0 - 360","Dropped","1976","Town in Japan. Name dropped because crater cannot be located on imagery.",
"Tooting","Mars",27.86,23.21,207.76,"Planetocentric  +East  0 - 360","Approved","2006","Town in England.",
"Torbay","Mars",6.33,17.87,114.08,"Planetocentric  +East  0 - 360","Approved","1988","Town in Australia.",
"Toro","Mars",41.4,17.04,71.82,"Planetocentric  +East  0 - 360","Approved","Nov 24, 2008","Town in Spain. ",
"Torsö","Mars",15.3,-44.29,308.82,"Planetocentric  +East  0 - 360","Approved","1976","Town in Sweden.",
"Torup","Mars",42.72,-27.89,97.81,"Planetocentric  +East  0 - 360","Approved","1991","Town in Sweden.",
"Tractus Albus","Mars",0,29.71,280,"Planetocentric  +East  0 - 360","Approved","1958","""White Tract"" in Latin.",
"Tractus Catena","Mars",910.57,27,257.21,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"Tractus Fossae","Mars",403.06,25.89,258.72,"Planetocentric  +East  0 - 360","Approved","1988","Classical albedo feature name.",
"Trebia Valles","Mars",179.8,32.08,150.12,"Planetocentric  +East  0 - 360","Approved","1985","Classical name for modern Trebbia River, Italy.",
"Trinacria","Mars",0,-24.74,92,"Planetocentric  +East  0 - 360","Approved","1958","Classical name for Sicily.",
"Trinidad","Mars",27.91,-23.38,109.05,"Planetocentric  +East  0 - 360","Approved","1991","Town in Peru.",
"Triolet","Mars",12.14,-37.09,191.98,"Planetocentric  +East  0 - 360","Approved","Apr 16, 2008","Town in the Republic of Mauritius.",
"Trivium Charontis","Mars",0,19.78,162,"Planetocentric  +East  0 - 360","Approved","1958","""Crossroad of Charon""; meeting place of several netherworld Canals.",
"Troika","Mars",13.43,16.83,105.14,"Planetocentric  +East  0 - 360","Approved","1976","Town in Russia.",
"Trouvelot","Mars",148.77,16.09,347.02,"Planetocentric  +East  0 - 360","Approved","1973","Étienne Léopold; French astronomer (1827-1895).",
"Troy","Mars",9.59,23.17,307.38,"Planetocentric  +East  0 - 360","Approved","1976","Town in Idaho, USA.",
"Trud","Mars",2.44,17.68,328.41,"Planetocentric  +East  0 - 360","Approved","1976","Town in Russia.",
"Trumpler","Mars",75.35,-61.43,209.29,"Planetocentric  +East  0 - 360","Approved","1973","Robert J.; American astronomer (1886-1956).",
"Tsau","Mars",6.61,49.49,121.06,"Planetocentric  +East  0 - 360","Approved","1979","Town in Botswana.",
"Tsukuba","Mars",1.86,48.58,134,"Planetocentric  +East  0 - 360","Approved","1979","Japanese mission control site.",
"Tuapi","Mars",4.48,16.98,104.34,"Planetocentric  +East  0 - 360","Approved","1988","Town in Nicaragua.",
"Tugaske","Mars",30.89,-31.78,258.89,"Planetocentric  +East  0 - 360","Approved","1991","Town in Saskatchewan.",
"Tumul","Mars",8.68,14.71,104.61,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Tungla","Mars",16.61,-40.77,89.64,"Planetocentric  +East  0 - 360","Approved","1991","Town in Nicaragua.",
"Tura","Mars",14.81,-26.63,338.02,"Planetocentric  +East  0 - 360","Approved","1976","Town in Russia.",
"Turbi","Mars",30.59,-40.62,308.55,"Planetocentric  +East  0 - 360","Approved","1976","Town in Kenya.",
"Turma","Mars",6.68,17.31,108.11,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Tuscaloosa","Mars",59.66,-0.02,28.73,"Planetocentric  +East  0 - 360","Approved","2000","Town in Alabama, USA.",
"Tuskegee","Mars",62.88,-2.8,323.91,"Planetocentric  +East  0 - 360","Approved","1976","Town in Alabama, USA.",
"Tycho Brahe","Mars",105.27,-49.41,146.12,"Planetocentric  +East  0 - 360","Approved","1973","Danish astronomer (1546-1601).",
"Tyndall","Mars",83.05,39.73,169.97,"Planetocentric  +East  0 - 360","Approved","1973","John; British physicist (1820-1893).",
"Tyras Vallis","Mars",99.13,8.33,309.85,"Planetocentric  +East  0 - 360","Approved","1985","Classical name for present Dniester River, Ukraine.",
"Tyrrhena Dorsa","Mars",779.4,-24.2,115.72,"Planetocentric  +East  0 - 360","Approved","1991","Albedo feature name.",
"Tyrrhena Fossae","Mars",305.55,-22.23,105.8,"Planetocentric  +East  0 - 360","Approved","1991","Classical albedo name.",
"[Tyrrhena Mons]","Mars",107,-24.15,101.1,"Planetocentric  +East  0 - 360","Dropped","1991","Classical albedo name.",
"Tyrrhena Patera","Mars",12.64,-21.39,106.63,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Tyrrhena Terra","Mars",2470.14,-11.9,88.84,"Planetocentric  +East  0 - 360","Approved","1979","Classical albedo feature name.",
"Tyrrhenus Labyrinthus","Mars",102.68,-16.18,101.12,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Tyrrhenus Mons","Mars",269.77,-21.63,105.88,"Planetocentric  +East  0 - 360","Approved","Sep 19, 2007","Classical albedo feature name.",
"Tyuratam","Mars",0.3,-45.04,202.04,"Planetocentric  +East  0 - 360","Approved","Aug 5, 2013","(Töretam) Township in Kazakhstan.",
"Uchronia","Mars",0,69.78,100,"Planetocentric  +East  0 - 360","Approved","1958","""Land of Agelessness.""",
"Udzha","Mars",42.87,81.92,77.35,"Planetocentric  +East  0 - 360","Approved","2006","Village in northern Russia.",
"Ultima Lingula","Mars",551.28,-76.32,142.56,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"[Ultimi Cavi]","Mars",320,-74.32,155.5,"Planetocentric  +East  0 - 360","Dropped","1984","See Thyles Rupes; name dropped 1984.",
"Ultimi Scopuli","Mars",560.47,-77.88,179.04,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Ultimum Chasma","Mars",322.09,-81.1,151.37,"Planetocentric  +East  0 - 360","Approved","2006","Classical albedo feature name.",
"Ulu","Mars",3.43,22.49,107.32,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Ulya","Mars",8.02,-17.9,111.68,"Planetocentric  +East  0 - 360","Approved","1991","Town in Russia.",
"Ulysses Colles","Mars",84.81,6.14,236.91,"Planetocentric  +East  0 - 360","Approved","Jul 20, 2012","Classical albedo feature name.",
"Ulysses Fossae","Mars",849.94,9.95,236.93,"Planetocentric  +East  0 - 360","Approved","1985","From albedo feature name.",
"Ulysses Patera","Mars",57.86,2.95,238.58,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Ulysses Tholus","Mars",102.47,2.96,238.5,"Planetocentric  +East  0 - 360","Approved","Sep 19, 2007","Classical albedo feature name. ",
"Ulyxis Rupes","Mars",383.09,-68.78,160.02,"Planetocentric  +East  0 - 360","Approved","1976","Classical albedo feature name.",
"Umatac","Mars",17.16,42.52,137.26,"Planetocentric  +East  0 - 360","Approved","1979","Town in Guam, USA.",
"Umbra","Mars",0,49.67,70,"Planetocentric  +East  0 - 360","Approved","1958","Means ""Shadow"" in Latin.",
"Uranius Dorsum","Mars",542.08,23.79,284.96,"Planetocentric  +East  0 - 360","Approved","1985","Named for albedo feature.",
"Uranius Fossae","Mars",394.11,25.29,269.87,"Planetocentric  +East  0 - 360","Approved","1985","Classical albedo feature name.",
"Uranius Mons","Mars",265.17,26.9,267.85,"Planetocentric  +East  0 - 360","Approved","Sep 19, 2007","Classical albedo feature name. ",
"Uranius Patera","Mars",114,26.32,267.2,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Uranius Tholus","Mars",61.39,26.25,262.43,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Urk","Mars",2.89,23.11,111.42,"Planetocentric  +East  0 - 360","Approved","1988","Town in Netherlands.",
"Utan","Mars",4.73,24.24,113.81,"Planetocentric  +East  0 - 360","Approved","1988","Town in Russia.",
"Utopia","Mars",0,49.67,110,"Planetocentric  +East  0 - 360","Approved","1958","Greek, meaning ""nowhere""; ideal state.",
"Utopia Planitia","Mars",3560.45,46.74,117.52,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Utopia Rupēs","Mars",2492.68,43.53,86.03,"Planetocentric  +East  0 - 360","Approved","2003","Named for calssical albedo feature at 55N, 260W.",
"Uzboi Vallis","Mars",353.53,-29.46,323.02,"Planetocentric  +East  0 - 360","Approved","1976","Dry riverbed in Russia.",
"Uzer","Mars",9.24,-1.22,358.25,"Planetocentric  +East  0 - 360","Approved","Sep 14, 2006","Town in France.",
"Vaals","Mars",10.85,-3.96,327.03,"Planetocentric  +East  0 - 360","Approved","1976","Town in the Netherlands.",
"Vaduz","Mars",2,38.24,15.79,"Planetocentric  +East  0 - 360","Approved","Aug 23, 2010","Capital of the Principality of Liechtenstein.",
"Valga","Mars",15.7,-44.32,323.36,"Planetocentric  +East  0 - 360","Approved","1976","Town in Estonia.",
"Valles Marineris","Mars",3761.28,-14.01,301.41,"Planetocentric  +East  0 - 360","Approved","1973","General name of the system of canyons honoring the scientific team of the Mariner 9 program.",
"Valverde","Mars",34.92,20.1,304.24,"Planetocentric  +East  0 - 360","Approved","1976","Town in the Dominican Republic.",
"Varus Valles","Mars",90.12,-8.57,204.01,"Planetocentric  +East  0 - 360","Approved","1988","Classical name for present Var River, France.",
"Vastitas Borealis","Mars",2002.91,87.73,32.53,"Planetocentric  +East  0 - 360","Approved","1973","Classical albedo feature name.",
"Vätö","Mars",17.24,-43.61,306.31,"Planetocentric  +East  0 - 360","Approved","1976","Town in Sweden.",
"Vaux","Mars",5.99,17.96,327.21,"Planetocentric  +East  0 - 360","Approved","1976","Town in France.",
"Vedra Valles","Mars",118,19.12,304.52,"Planetocentric  +East  0 - 360","Approved","1976","Ancient European river (Great Britain).",
"Verde Vallis","Mars",133,-0.5,29.88,"Planetocentric  +East  0 - 360","Approved","2000","River in Arizona, USA.",
